1,1,I Am... Sasha Fierce,2008,2,1
2,2,25,2015,1,2
3,2,21,2011,1,2
4,1,4,2011,2,1
5,1,B'Day,2006,2,1
6,1,Beyonce,2013,2,1
7,3,Exclusive,2007,1,3
8,3,Fortune,2012,1,4
9,4,Rock and Roll Night Club,2011,4,5
10,4,Salad Days,2014,4,5
11,4,Another One,2015,4,5
12,5,Demon Days,2005,4,6
13,5,Plastic Beach,2010,4,6
14,5,Gorillaz,2001,4,6
15,6,500 Degreez,2002,3,7
16,6,Tha Carter,2004,3,7
17,6,Tha Carter II,2005,3,7
18,6,Tha Carter III,2008,3,7
19,6,Tha Carter IV,2011,3,8
20,7,Bleach,1989,5,9
21,7,Nevermind,1991,5,10
22,7,In Utero,1993,5,10
23,8,Women and Children First,1980,6,11
24,8,Diver Down,1982,6,11
25,8,1984,1984,6,11
26,8,5150,1986,6,11
27,9,Dookie,1994,7,12
28,9,American Idiot,2004,7,12
29,9,Nimrod,1997,7,12
30,10,...Baby One More Time,1999,1,3
31,10,Oops!... I Did It Again,2000,1,3
32,11,Yeezus,2013,3,13
33,11,Graduation,2007,3,14
34,11,College Dropout,2004,3,14
35,11,Late Registration,2005,3,14
